amazon.com,54.239.17.7
ifeng.com,210.51.19.63
hotmail.com,157.56.198.220
paipai.com,
youtube.com,216.58.217.14
wordpress.com,192.0.78.17
goo.ne.jp,153.254.147.65
360.cn,36.110.213.49
alipay.com,110.75.139.5
yahoo.com,98.139.180.149
tudou.com,106.11.186.2
bbc.co.uk,212.58.244.22
craigslist.org,208.82.237.129
softonic.com,46.28.209.62
live.com,65.55.118.92
yahoo.co.jp,183.79.135.206
yandex.ru,5.255.255.60
weather.com,23.217.105.58
nifty.com,222.158.213.148
wikipedia.org,208.80.153.224
sohu.com,221.179.178.112
myspace.com,63.135.90.70
soku.com,106.11.186.1
imageshack.us,208.94.3.19
msn.com,13.82.28.61
apple.com,17.172.224.47
mail.ru,217.69.139.200
alibaba.com,198.11.132.23
cnn.com,151.101.193.67
baidu.com,123.125.114.144
hao123.com,123.125.115.150
cnet.com,64.30.228.118
megaupload.com,
tianya.cn,124.225.65.154
blogspot.com,216.58.217.9
windows.com,23.96.52.53
go.com,23.236.60.174
renren.com,103.235.252.211
mywebsearch.com,74.113.233.48
microsoft.com,104.40.211.35
ebay.com,66.135.216.190
4399.com,118.184.184.70
livedoor.jp,125.6.149.67
zynga.com,54.200.204.21
qq.com,125.39.240.113
pps.tv,101.227.188.178
orkut.com,216.239.32.21
blogger.com,216.58.217.9
partypoker.com,185.37.77.41
taobao.com,140.205.94.189
xunlei.com,182.118.18.100
skype.com,104.40.50.126
vkontakte.ru,95.213.4.228
hp.com,15.72.228.83
bing.com,204.79.197.200
56.com,101.227.173.126
ameblo.jp,72.247.114.130
answers.com,192.41.64.63
walmart.com,161.170.248.20
sina.com.cn,202.108.33.60
fc2.com,52.36.136.201
naver.com,202.179.177.22
rapidshare.com,10.11.12.13
kugou.com,14.18.236.182
soso.com,123.126.51.90
paypal.com,64.4.250.33
flickr.com,69.147.92.11
daum.net,211.231.99.17
ebay.de,66.135.211.132
163.com,123.58.180.8
sogou.com,118.191.216.42
4shared.com,204.155.146.95
7k7k.com,115.182.59.140
youdao.com,61.135.218.30
ask.com,52.45.17.31
tmall.com,140.205.130.99
amazon.co.jp,54.240.248.0
2345.com,42.62.30.180
hotfile.com,199.184.144.150
adobe.com,192.147.130.204
ku6.com,123.59.156.84
linkedin.com,108.174.10.10
photobucket.com,209.17.68.100
qiyi.com,101.227.188.170
twitter.com,104.244.42.129
rakuten.co.jp,133.237.61.176
dailymotion.com,195.8.215.136
mediafire.com,205.196.120.6
pconline.com.cn,219.136.245.40
mozilla.com,63.245.213.17
about.com,151.101.65.121
imdb.com,72.21.210.29
ehow.com,23.227.11.12
odnoklassniki.ru,217.20.155.13
youku.com,106.11.47.20
orkut.com.br,
aol.com,207.200.74.55
seesaa.net,13.112.164.141
jp.msn.com,13.88.15.24
sdjjdsaf.com,
orkut.com.br,
aol.com,207.200.74.55
seesaa.net,13.112.164.141
jp.msn.com,13.88.15.24
andysayler.com,162.243.49.20
facebook.com,157.240.18.35
wmfo.org,23.92.21.128
wmfo.org,23.92.21.128
